,DATE,CPIANN
153,1959-10-01,0.013628620102214602
154,1959-11-01,0.014650766609880739
155,1959-12-01,0.01360081604896289
156,1960-01-01,0.01600272386789237
157,1960-02-01,0.014620877252635148
158,1960-03-01,0.014620877252635148
159,1960-04-01,0.009140148950575477
160,1960-05-01,0.00913087588772403
161,1960-06-01,0.00776764606551842
162,1960-07-01,0.012521150592216616
163,1960-08-01,0.01114488348530908
164,1960-09-01,0.012495778453225295
165,1960-10-01,0.007731092436974805
166,1960-11-01,0.006715916722632615
167,1960-12-01,0.006709158000671012
168,1961-01-01,0.006702412868632684
169,1961-02-01,0.00904825737265414
170,1961-03-01,0.011058981233244029
171,1961-04-01,0.013418316001341904
172,1961-05-01,0.013404825737265367
173,1961-06-01,0.012399463806970542
174,1961-07-01,0.010026737967914343
175,1961-08-01,0.011356045424181692
176,1961-09-01,0.014676450967311584
177,1961-10-01,0.013342228152101353
178,1961-11-01,0.013342228152101353
179,1961-12-01,0.012329223592135868
180,1962-01-01,0.013315579227696476
181,1962-02-01,0.012288276320159448
182,1962-03-01,0.011269472986410336
183,1962-04-01,0.008937437934458774
184,1962-05-01,0.008928571428571532
185,1962-06-01,0.01324064879179075
186,1962-07-01,0.015552614162806169
187,1962-08-01,0.015521796565389658
188,1962-09-01,0.009861932938855922
189,1962-10-01,0.012179065174456914
190,1962-11-01,0.01316655694535886
191,1962-12-01,0.016458196181698487
192,1963-01-01,0.0164257555847569
193,1963-02-01,0.014107611548556422
194,1963-03-01,0.014093739757456562
195,1963-04-01,0.015419947506561641
196,1963-05-01,0.015404785316289703
197,1963-06-01,0.013067624959163741
198,1963-07-01,0.010752688172042954
199,1963-08-01,0.009756097560975632
200,1963-09-01,0.011718749999999983
201,1963-10-01,0.012032520325203284
202,1963-11-01,0.013970110461338522
203,1963-12-01,0.011981865284974125
204,1964-01-01,0.010989010989010985
205,1964-02-01,0.011970236169524457
206,1964-03-01,0.011958629605688347
207,1964-04-01,0.013893376413570266
208,1964-05-01,0.016139444803098774
209,1964-06-01,0.019348597226700993
210,1964-07-01,0.01805286911669886
211,1964-08-01,0.01610305958132045
212,1964-09-01,0.01737451737451746
213,1964-10-01,0.017030848329048765
214,1964-11-01,0.017302146747837203
215,1964-12-01,0.019200000000000047
216,1965-01-01,0.01918158567774929
217,1965-02-01,0.02557544757033239
218,1965-03-01,0.02778664963270524
219,1965-04-01,0.028680688336520144
220,1965-05-01,0.027636594663278304
221,1965-06-01,0.024359379943056095
222,1965-07-01,0.027549081697276902
223,1965-08-01,0.0348652931854199
224,1965-09-01,0.03573687539531938
225,1965-10-01,0.037914691943128055
226,1965-11-01,0.035590551181102444
227,1965-12-01,0.03359497645211932
228,1966-01-01,0.03199498117942282
229,1966-02-01,0.028678304239401552
230,1966-03-01,0.02548166563082661
231,1966-04-01,0.025402726146220578
232,1966-05-01,0.0231839258114374
233,1966-06-01,0.028412600370598968
234,1966-07-01,0.029275808936825753
235,1966-08-01,0.026033690658499278
236,1966-09-01,0.025954198473282487
237,1966-10-01,0.025875190258751946
238,1966-11-01,0.031021897810218853
239,1966-12-01,0.03280680437424053
240,1967-01-01,0.03647416413373869
241,1967-02-01,0.03636363636363645
242,1967-03-01,0.03939393939393931
243,1967-04-01,0.03927492447129901
244,1967-05-01,0.04229607250755282
245,1967-06-01,0.04204204204204222
246,1967-07-01,0.04491017964071856
247,1967-08-01,0.04477611940298507
248,1967-09-01,0.044642857142857144
249,1967-10-01,0.04747774480712149
250,1967-11-01,0.04424778761061947
251,1967-12-01,0.047058823529411806
252,1968-01-01,0.04692082111436954
253,1968-02-01,0.04678362573099398
254,1968-03-01,0.0524781341107873
255,1968-04-01,0.05523255813953484
256,1968-05-01,0.0550724637681159
257,1968-06-01,0.05475504322766566
258,1968-07-01,0.054441260744985634
259,1968-08-01,0.05428571428571424
260,1968-09-01,0.05698005698005698
261,1968-10-01,0.056657223796034
262,1968-11-01,0.05932203389830513
263,1968-12-01,0.05898876404494386
264,1969-01-01,0.061624649859943856
265,1969-02-01,0.06424581005586605
266,1969-03-01,0.06094182825484752
267,1969-04-01,0.06060606060606069
268,1969-05-01,0.06043956043956052
269,1969-06-01,0.06010928961748622
270,1969-07-01,0.05706521739130439
271,1969-08-01,0.056910569105691096
272,1969-09-01,0.056603773584905696
273,1969-10-01,0.05630026809651479
274,1969-11-01,0.056000000000000036
275,1969-12-01,0.05570291777188313
276,1970-01-01,0.052770448548812667
277,1970-02-01,0.0472440944881889
278,1970-03-01,0.04438642297650138
279,1970-04-01,0.04155844155844159
280,1970-05-01,0.04404145077720196
281,1970-06-01,0.043814432989690795
282,1970-07-01,0.04370179948586126
283,1970-08-01,0.043589743589743664
284,1970-09-01,0.040816326530612096
285,1970-10-01,0.03807106598984772
286,1970-11-01,0.03535353535353532
287,1970-12-01,0.03266331658291468
288,1971-01-01,0.03258145363408532
289,1971-02-01,0.03759398496240601
290,1971-03-01,0.03499999999999996
291,1971-04-01,0.03491271820448874
292,1971-05-01,0.03225806451612914
293,1971-06-01,0.0296296296296297
294,1971-07-01,0.029556650246305313
295,1971-08-01,0.029484029484029377
296,1971-09-01,0.031862745098039325
297,1971-10-01,0.031784841075794726
298,1971-11-01,0.0341463414634146
299,1971-12-01,0.03406326034063257
300,1972-01-01,0.03640776699029126
301,1972-02-01,0.038647342995169115
302,1972-03-01,0.04830917874396135
303,1972-04-01,0.05301204819277115
304,1972-05-01,0.05528846153846147
305,1972-06-01,0.05995203836930455
306,1972-07-01,0.05741626794258387
307,1972-08-01,0.07398568019093082
308,1972-09-01,0.07363420427553448
